ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_en,CodeFigure_SubCentres,Name_SubCentres_en,Status,translation_source
C12/254/20,254,EUMETSAT Operation Centre,20,Maspalomas (Spain),Operational,NA
C12/254/30,254,EUMETSAT Operation Centre,30,Kangerlussuaq (Greenland),Operational,NA
C12/254/40,254,EUMETSAT Operation Centre,40,Edmonton (Canada),Operational,NA
C12/254/50,254,EUMETSAT Operation Centre,50,Bedford (Canada),Operational,NA
C12/254/60,254,EUMETSAT Operation Centre,60,Gander (Canada),Operational,NA
C12/254/70,254,EUMETSAT Operation Centre,70,Monterey (United States),Operational,NA
C12/254/80,254,EUMETSAT Operation Centre,80,Wallops Island (United States),Operational,NA
C12/254/90,254,EUMETSAT Operation Centre,90,Gilmor Creek (United States),Operational,NA
C12/254/100,254,EUMETSAT Operation Centre,100,Athens (Greece),Operational,NA
C12/254/120,254,EUMETSAT Operation Centre,120,"Ewa Beach, Hawaii",Operational,NA
C12/254/125,254,EUMETSAT Operation Centre,125,"Ford Island, Hawaii",Operational,NA
C12/254/130,254,EUMETSAT Operation Centre,130,"Miami, Florida",Operational,NA
C12/254/140,254,EUMETSAT Operation Centre,140,Lannion (France),Operational,NA
C12/254/150,254,EUMETSAT Operation Centre,150,Svalbard (Norway),Operational,NA
C12/254/170,254,EUMETSAT Operation Centre,170,Saint-Denis (La Reunion),Operational,NA
C12/254/180,254,EUMETSAT Operation Centre,180,Moscow,Operational,NA
C12/254/190,254,EUMETSAT Operation Centre,190,Muscat,Operational,NA
C12/254/200,254,EUMETSAT Operation Centre,200,Khabarovsk,Operational,NA
C12/254/210,254,EUMETSAT Operation Centre,210,Novosibirsk,Operational,NA
C12/254/220,254,EUMETSAT Operation Centre,220,NOAA Satellite Operations Facility (NSOF),Operational,NA
