ID,Code,Agency_en,Type_en,InstrumentShortName_en,InstrumentLongName_en,Status,translation_source
C08/681,681,NSAU,Imaging multi-spectral radiometer (vis/IR),MSU-UM,Visible multispectral radiometer,Operational,NA
C08/682,682,NSAU,Radiometer,RM-08,Imaging microwave radiometer,Operational,NA
C08/683,683,NSAU,High-resolution optical imager,SU-UMS,Stereo radiometer with high-resolution,Operational,NA
C08/684,684,NSAU,High-resolution optical imager,SU-VR,Visible radiometer with high-resolution,Operational,NA
C08/685,685,NSAU,Radiometer,TRASSER,,Operational,NA
C08/686,686,SOA,Scatterometer,SCAT,Scatterometer,Operational,NA
C08/687,687,SOA,Radar altimeter,ALT,Radar altimeter,Operational,NA
C08/688,688,SOA,Microwave radiometer,MWI,Microwave radiometer,Operational,NA
C08/689,689,ME(NIER),Spectrometer,GEMS,Geostationary Environmental Monitoring Spectrometer,Operational,NA
C08/700,700,ROSCOSMOS,Communications,KONDOR-2,Data-collection and transmission system,Operational,NA
C08/701,701,ROSCOSMOS,Communications,BRK,,Operational,NA
C08/710,710,ROSCOSMOS,Lidar,ALISSA,Backscatter lidar,Operational,NA
C08/712,712,ROSCOSMOS,Lidar,Balkan-2 lidar,,Operational,NA
C08/715,715,ROSCOSMOS,Lidar,MK-4,,Operational,NA
C08/716,716,ROSCOSMOS,Lidar,MK-4M,,Operational,NA
C08/730,730,ROSCOSMOS,Radar,Greben,Radar altimeter,Operational,NA
C08/731,731,ROSCOSMOS,Radar,SAR-10,Synthetic aperture radar,Operational,NA
C08/732,732,ROSCOSMOS,Radar,SAR-3,Synthetic aperture radar,Operational,NA
C08/733,733,ROSCOSMOS,Radar,SAR-70,Synthetic aperture radar,Operational,NA
C08/740,740,ROSCOSMOS,Radar,SLR-3,Side looking radar,Operational,NA
C08/745,745,ROSCOSMOS,Radar,Travers SAR,,Operational,NA
C08/750,750,ROSCOSMOS,Radiometer,174-K,Temperature and humidity profiler,Operational,NA
C08/751,751,ROSCOSMOS,Radiometer,BTVK,Scanning television radiometer,Operational,NA
C08/752,752,ROSCOSMOS,Radiometer,Chaika,Scanning infrared radiometer,Operational,NA
C08/753,753,ROSCOSMOS,Radiometer,DELTA-2,Multispectral microwave scanner,Operational,NA
C08/755,755,ROSCOSMOS,Radiometer,IKAR-D,Multispectral microwave scanner,Operational,NA
C08/756,756,ROSCOSMOS,Radiometer,IKAR-N,Multispectral microwave scanner,Operational,NA
C08/757,757,ROSCOSMOS,Radiometer,IKAR-P,Multispectral microwave scanner,Operational,NA
C08/760,760,ROSCOSMOS,Radiometer,ISP,,Operational,NA
C08/761,761,ROSCOSMOS,Radiometer,KFA-1000,Photographic camera,Operational,NA
C08/762,762,ROSCOSMOS,Radiometer,KFA-200,Photographic camera,Operational,NA
C08/763,763,ROSCOSMOS,Radiometer,KFA-3000,Photographic camera,Operational,NA
C08/770,770,ROSCOSMOS,Radiometer,Klimat,Scanning infrared radiometer,Operational,NA
C08/771,771,ROSCOSMOS,Radiometer,Klimat-2,Scanning infrared radiometer,Operational,NA
C08/775,775,ROSCOSMOS,Radiometer,MIRAS,,Operational,NA
C08/776,776,ROSCOSMOS,Radiometer,MIVZA,,Operational,NA
C08/777,777,ROSCOSMOS,Radiometer,MIVZA-M,Microwave scanning radiometer,Operational,NA
C08/780,780,ROSCOSMOS,Radiometer,MR-2000,,Operational,NA
C08/781,781,ROSCOSMOS,Radiometer,MR-2000M,,Operational,NA
C08/785,785,ROSCOSMOS,Radiometer,MR-900,Scanning telephotometer,Operational,NA
C08/786,786,ROSCOSMOS,Radiometer,MR-900B,Scanning visual band telephotometer,Operational,NA
C08/790,790,ROSCOSMOS,Radiometer,MSU-E,Multispectral high-resolution electronic scanner,Operational,NA
C08/791,791,ROSCOSMOS,Radiometer,MSU-E1,Multispectral high-resolution electronic scanner,Operational,NA
C08/792,792,ROSCOSMOS,Radiometer,MSU-E2,Multispectral high-resolution electronic scanner,Operational,NA
C08/793,793,ROSCOSMOS,Radiometer,MSU-M,,Operational,NA
C08/794,794,ROSCOSMOS,Radiometer,MSU-S,Multispectral medium-resolution scanner,Operational,NA
C08/795,795,ROSCOSMOS,Radiometer,MSU-SK,Multispectral medium-resolution conical scanner,Operational,NA
C08/796,796,ROSCOSMOS,Radiometer,MSU-V,Multispectral high-resolution conical scanner,Operational,NA
C08/810,810,ROSCOSMOS,Radiometer,MTZA,Scanning microwave radiometer,Operational,NA
C08/815,815,ROSCOSMOS,Imaging multi-spectral radiometer (passive microwave),MZOAS,Scanning microwave radiometer,Operational,NA
C08/820,820,ROSCOSMOS,Imaging multi-spectral radiometer (passive microwave),R-225,Single channel microwave radiometer,Operational,NA
C08/821,821,ROSCOSMOS,Radiometer,R-400,,Operational,NA
C08/822,822,ROSCOSMOS,Radiometer,R-600,Single channel microwave radiometer,Operational,NA
C08/830,830,ROSCOSMOS,Radiometer,RMS,Radiation measurement system,Operational,NA
C08/835,835,ROSCOSMOS,Radiometer,TV camera,,Operational,NA
C08/836,836,ROSCOSMOS,Radiometer,SILVA,,Operational,NA
C08/840,840,ROSCOSMOS,Spectro-radiometer,SROSMO,Spectroradiometer for ocean monitoring,Operational,NA
C08/850,850,ROSCOSMOS,Spectrometer,BUFS-2,Backscatter spectrometer/2,Operational,NA
C08/851,851,ROSCOSMOS,Spectrometer,BUFS-4,Backscatter spectrometer/4,Operational,NA
C08/855,855,ROSCOSMOS,Spectrometer,ISTOK-1,Infrared spectrometer,Operational,NA
C08/856,856,ROSCOSMOS,Spectrometer,SFM-2,Spectrometer to measure direct solar radiation,Operational,NA
C08/857,857,ROSCOSMOS,Spectrometer,DOPI,,Operational,NA
C08/858,858,ROSCOSMOS,Spectrometer,KGI-4,,Operational,NA
C08/859,859,ROSCOSMOS,Spectrometer,Ozon-M,,Operational,NA
C08/860,860,ROSCOSMOS,Spectrometer,RMK-2,,Operational,NA
C08/861,861,ROSCOSMOS,Atmospheric temperature and humidity sounder,MTVZA-GY,Module for temperature and humidity sounding in the atmosphere,Operational,NA
C08/862,862,ROSCOSMOS,Spectrometer,IKFS-2,Infrared Fourier spectrometer,Operational,NA
C08/900,900,NOAA,Radiometer,MAXIE,Magnetospheric atmospheric X-ray imaging experiment,Operational,NA
C08/901,901,NOAA,Radiometer,OLS,Operational linescan system,Operational,NA
C08/905,905,NOAA,Radiometer,SSM/I,Mission sensor microwave imager,Operational,NA
C08/906,906,NOAA,Radiometer,SSM/T-1,Mission sensor microwave temperature sounder,Operational,NA
C08/907,907,NOAA,Radiometer,SSM/T-2,Mission sensor microwave water vapour sounder,Operational,NA
C08/908,908,NOAA,Radiometer,SSMIS,Special sensor microwave imager sounder,Operational,NA
C08/909,909,NOAA,Radiometer,VTPR,Vertical temperature profile radiometer,Operational,NA
C08/910,910,NOAA,Radiometer,SXI,Solar X-ray imager,Operational,NA
C08/930,930,NOAA,Spectrometer,EHIC,Energetic heavy ion composition experiment,Operational,NA
C08/931,931,NOAA,Spectrometer,X-ray astronomy payload,,Operational,NA
C08/932,932,NRSCC,Imaging multi-spectral radiometer (vis/IR),IVISSR (FY-2),Improved multispectral visible and Infrared scan radiometer (5 channels),Operational,NA
C08/933,933,NRSCC,Atmospheric temperature and humidity sounder,IRAS,Infrared atmospheric sounder,Operational,NA
C08/934,934,NRSCC,Atmospheric temperature and humidity sounder,MWAS,Microwave atmospheric sounder,Operational,NA
C08/935,935,NRSCC,Atmospheric temperature and humidity sounder,IMWAS,Improved Microwave atmospheric sounder,Operational,NA
C08/936,936,NRSCC,Atmospheric temperature and humidity sounder,MWHS,Microwave humidity sounder,Operational,NA
C08/937,937,NRSCC,Imaging multi-spectral radiometer (vis/IR),MVIRS,Moderate resolution visible and infrared imaging spectroradiometer,Operational,NA
C08/938,938,NRSCC,Imaging multi-spectral radiometer (passive microwave),MWRI,Microwave radiation imager,Operational,NA
C08/940,940,ROSCOSMOS,Atmospheric temperature and humidity sounder,MTVZA-OK,Scanning microwave radiometer,Operational,NA
C08/941,941,CNES,Atmospheric temperature and humidity sounder,SAPHIR,,Operational,NA
C08/942,942,CNES,Microwave imager,MADRAS,Microwave Analysis and Detection of Rain and Atmospheric Structures,Operational,NA
C08/943,943,CNSA,Scatterometer,SCAT (on CFOSAT),Scatterometer,Operational,NA
C08/944,944,NOAA,Radar altimeter,ALT,Altimeter,Operational,NA
C08/945,945,NOAA,Earth radiation budget radiometer,TSIS,Total solar irradiance sensor,Operational,NA
C08/946,946,NOAA,Imaging multi-spectral radiometer (passive microwave),CMIS,Conical-scanning microwave imager/sounder,Operational,NA
C08/947,947,NOAA,Total and profile ozone,OMPS-nadir,Ozone mapping and profiler suite,Operational,NA
C08/948,948,NOAA,Space environment atmospheric temperature and humidity sounder,GPSOS,Global positioning system occultation sensor,Operational,NA
C08/949,949,NOAA,"Magnetic field, auroal imagery scintillation boundary",SESS,Space environmental sensor suite,Operational,NA
C08/950,950,NRSCC,Imaging multi-spectral radiometer (vis/IR),VIRR,Multispectral visible and infrared scan radiometer (10 channels),Operational,NA
C08/951,951,NRSCC,Total and profile ozone,TOM,Total ozone mapper,Operational,NA
C08/952,952,NRSCC,Total and profile ozone,OP,Ozone profiler,Operational,NA
C08/953,953,CMA,"Microwave sounding radiometer, crosstrack scanning",MWHS-2,Microwave humidity sounder-2,Operational,NA
C08/954,954,CMA,"Microwave sounding radiometer, crosstrack scanning",MWTS-2,Microwave temperature sounder-2,Operational,NA
C08/955,955,CMA,Cross-nadir scanning IR sounder,HIRAS,Hyperspectral infrared atmospheric sounder,Operational,NA
C08/956,956,CMA,Spectrometer,SBUS,Solar backscatter ultraviolet sounder,Operational,NA
C08/957,957,CMA,Spectrometer,TOU,Total ozone unit,Operational,NA
C08/958,958,CMA,GNSS occultation sounder,GNOS,Global navigation satellite system occultation sounder,Operational,NA
C08/959,959,SNSB,Limb-scanning sounder,SMR,Sub-millimetre radiometer,Operational,NA
C08/960,960,NASA,Total and profile ozone,OMPS-limb,Ozone Mapping and Profiler Suite,Operational,NA
C08/961,961,CMA,"Visible/NIR/TIR imager, E-W continuous, S-N stepping scanning",AGRI-1,Advanced Geostationary Radiation Imager-1,Operational,NA
C08/962,962,CMA,"Hyperspectral infrared sounding radiometer, step-stare scanning",GIIRS-1,Geostationary Interferometric Infrared Sounder-1,Operational,NA
C08/963,963,CMA,High-resolution optical imager,LMI,Lightning Mapping Imager,Operational,NA
C08/964,964,CMA,Space environment,SEP,Space Environment Package,Operational,NA
C08/965,965,CMA,GNSS occultation,GNOS-2,GNSS radio occultation sounder-2,Operational,NA
C08/966,966,CMA,"Microwave sounding radiometer,cross-track scanning",MWTS-3,Microwave temperature sounder-3,Operational,NA
C08/967,967,CMA,"Hyperspectral infrared sounding radiometer, step-stare scanning",GIIRS-2,Geostationary Interferometric Infrared Sounder-2,Operational,NA
C08/968,968,CMA,"Hyperspectral infrared sounding radiometer, step-stare scanning",GIIRS-3,Geostationary Interferometric Infrared Sounder-3,Operational,NA
C08/969,969,CMA,"Hyperspectral infrared sounding radiometer, step-stare scanning",GIIRS-4,Geostationary Interferometric Infrared Sounder-4,Operational,NA
C08/970,970,CMA,"Hyperspectral infrared sounding radiometer, step-stare scanning",GIIRS-5,Geostationary Interferometric Infrared Sounder-5,Operational,NA
C08/971,971,CMA,"Hyperspectral infrared sounding radiometer, step-stare scanning",GIIRS-6,Geostationary Interferometric Infrared Sounder-6,Operational,NA
C08/972,972,CMA,"Visible/NIR/TIR imager, E-W continuous, S-N stepping scanning",AGRI-2,Advanced Geostationary Radiation Imager-2,Operational,NA
C08/973,973,CMA,"Visible/NIR/TIR imager, E-W continuous, S-N stepping scanning",AGRI-3,Advanced Geostationary Radiation Imager-3,Operational,NA
C08/974,974,CMA,"Visible/NIR/TIR imager, E-W continuous, S-N stepping scanning",AGRI-4,Advanced Geostationary Radiation Imager-4,Operational,NA
C08/975,975,CMA,"Visible/NIR/TIR imager, E-W continuous, S-N stepping scanning",AGRI-5,Advanced Geostationary Radiation Imager-5,Operational,NA
C08/976,976,CMA,"Visible/NIR/TIR imager, E-W continuous, S-N stepping scanning",AGRI-6,Advanced Geostationary Radiation Imager-6,Operational,NA
C08/977,977,CMA,"Visible/NIR/TIR imager, E-W continuous, S-N stepping scanning",GHI,Geostationary High-speed Imager,Operational,NA
C08/978-979,978-979,Reserved,,,,Operational,NA
C08/980,980,KMA,Imager,AMI,Advanced Meteorological Imager,Operational,NA
C08/981,981,KMA,Imager,MI,Meteorological Imager,Operational,NA
C08/982,982,KMA,Space environment,KSEM,Korea Space wEather Monitor,Operational,NA
C08/983,983,CMA,"Cross-track scanning, IR Hyperspectral sounder",HIRAS-2,Hyperspectral infrared atmospheric sounder-2,Operational,NA
C08/984,984,CMA,"Cross-track scanning, IR Hyperspectral sounder",HIRAS-3,Hyperspectral infrared atmospheric sounder-3,Operational,NA
C08/985,985,CMA,Conical scanning microwave imager,MWRI-1,Microwave radiation imager-1,Operational,NA
C08/986,986,CMA,Conical scanning microwave imager,MWRI-2,Microwave radiation imager-2,Operational,NA
C08/987,987,CMA,Conical scanning microwave imager,MWRI-RM,Microwave radiation imager-Rain Mission,Operational,NA
C08/988,988,CMA,Conical scanning dual-frequency scatterometer,WindRAD,Wind Radar,Operational,NA
C08/989,989,Reserved,,,,Operational,NA
C08/990,990,NASA,Radiometer,SMMR,Scanning multichannel microwave radiometer,Operational,NA
C08/991,991,NASA,Radiometer,THIR,Temperature-humidity infrared radiometer,Operational,NA
C08/992,992,NASA,Radiometer,NEMS,Nimbus-E Microwave Sounder,Operational,NA
C08/993,993,NASA,Radiometer,SCAMS,Scanning Microwave Spectrometer,Operational,NA
C08/994,994,NASA,Radiometer,ESMR,Electrically Scanning Microwave Radiometer,Operational,NA
C08/995-999,995-999,Reserved,,,,Operational,NA
C08/1000-2046,1000-2046,Reserved for long-term future use,,,,Operational,NA
C08/2047,2047,Missing value,,,,Operational,NA
