ID,CodeFigure,Meaning_en,ChemicalFormula,Status,translation_source
C14/30176,30176,Cerium 139,Ce-139,Operational,NA
C14/30177,30177,Cerium 141,Ce-141,Operational,NA
C14/30178,30178,Cerium 143,Ce-143,Operational,NA
C14/30179,30179,Cerium 144,Ce-144,Operational,NA
C14/30180,30180,Lanthanum 140,La-140,Operational,NA
C14/30181,30181,Lanthanum 141,La-141,Operational,NA
C14/30182,30182,Praseodymium 143,Pr-143,Operational,NA
C14/30183,30183,Praseodymium 144,Pr-144,Operational,NA
C14/30184,30184,Praseodymium 144 metastable,Pr-144m,Operational,NA
C14/30185,30185,Samarium 145,Sm-145,Operational,NA
C14/30186,30186,Samarium 147,Sm-147,Operational,NA
C14/30187,30187,Samarium 151,Sm-151,Operational,NA
C14/30188,30188,Neodymium 147,Nd-147,Operational,NA
C14/30189,30189,Promethium 146,Pm-146,Operational,NA
C14/30190,30190,Promethium 147,Pm-147,Operational,NA
C14/30191,30191,Promethium 151,Pm-151,Operational,NA
C14/30192,30192,Europium 152,Eu-152 ,Operational,NA
C14/30193,30193,Europium 154,Eu-154,Operational,NA
C14/30194,30194,Europium 155,Eu-155,Operational,NA
C14/30195,30195,Gadolinium 153,Gd-153,Operational,NA
C14/30196,30196,Terbium 160,Tb-160,Operational,NA
C14/30197,30197,Holmium 166 metastable,Ho-166m,Operational,NA
C14/30198,30198,Thulium 170,Tm-170,Operational,NA
C14/30199,30199,Ytterbium 169,Yb-169,Operational,NA
C14/30200,30200,Hafnium 175,Hf-175,Operational,NA
C14/30201,30201,Hafnium 181,Hf-181,Operational,NA
C14/30202,30202,Tantalum 179,Ta-179,Operational,NA
C14/30203,30203,Tantalum 182,Ta-182,Operational,NA
C14/30204,30204,Rhenium 184,Re-184,Operational,NA
C14/30205,30205,Iridium 192,Ir-192,Operational,NA
C14/30206,30206,Mercury 203,Hg-203,Operational,NA
C14/30207,30207,Thallium 204,Tl-204,Operational,NA
C14/30208,30208,Thallium 207,Tl-207,Operational,NA
C14/30209,30209,Thallium 208,Tl-208,Operational,NA
C14/30210,30210,Thallium 209,Tl-209,Operational,NA
C14/30211,30211,Bismuth 205,Bi-205,Operational,NA
C14/30212,30212,Bismuth 207,Bi-207,Operational,NA
C14/30213,30213,Bismuth 210,Bi-210,Operational,NA
C14/30214,30214,Bismuth 211,Bi-211,Operational,NA
C14/30215,30215,Bismuth 212,Bi-212,Operational,NA
C14/30216,30216,Bismuth 213,Bi-213,Operational,NA
C14/30217,30217,Bismuth 214,Bi-214,Operational,NA
C14/30218,30218,Polonium 208,Po-208,Operational,NA
C14/30219,30219,Polonium 210,Po-210,Operational,NA
C14/30220,30220,Polonium 212,Po-212,Operational,NA
C14/30221,30221,Polonium 213,Po-213,Operational,NA
C14/30222,30222,Polonium 214,Po-214,Operational,NA
C14/30223,30223,Polonium 215,Po-215,Operational,NA
C14/30224,30224,Polonium 216,Po-216,Operational,NA
C14/30225,30225,Polonium 218,Po-218,Operational,NA
C14/30226,30226,Lead 209,Pb-209,Operational,NA
C14/30227,30227,Lead 210,Pb-210,Operational,NA
C14/30228,30228,Lead 211,Pb-211,Operational,NA
C14/30229,30229,Lead 212,Pb-212,Operational,NA
C14/30230,30230,Lead 214,Pb-214,Operational,NA
C14/30231,30231,Astatine 217,At-217,Operational,NA
C14/30232,30232,Radon 219,Rn-219,Operational,NA
C14/30233,30233,Radon 220,Rn-220,Operational,NA
C14/30234,30234,Radon 222,Rn-222,Operational,NA
C14/30235,30235,Francium 221,Fr-221,Operational,NA
C14/30236,30236,Francium 223,Fr-223,Operational,NA
C14/30237,30237,Radium 223,Ra-223,Operational,NA
C14/30238,30238,Radium 224,Ra-224,Operational,NA
C14/30239,30239,Radium 225,Ra-225,Operational,NA
C14/30240,30240,Radium 226,Ra-226,Operational,NA
C14/30241,30241,Radium 228,Ra-228,Operational,NA
C14/30242,30242,Actinium 225,Ac-225,Operational,NA
C14/30243,30243,Actinium 227,Ac-227,Operational,NA
C14/30244,30244,Actinium 228,Ac-228,Operational,NA
C14/30245,30245,Thorium 227,Th-227,Operational,NA
C14/30246,30246,Thorium 228,Th-228,Operational,NA
C14/30247,30247,Thorium 229,Th-229,Operational,NA
C14/30248,30248,Thorium 230,Th-230,Operational,NA
C14/30249,30249,Thorium 231,Th-231,Operational,NA
C14/30250,30250,Thorium 232,Th-232,Operational,NA
