ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_es,CodeFigure_SubCentres,Name_SubCentres_es,Status,translation_source
C12/74/21,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",21,Agenzia Spaziale Italiana (Italia),Operational,PDF
C12/74/22,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",22,Centre National de la Recherche Scientifique (Francia),Operational,PDF
C12/74/23,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",23,GeoForschungs Zentrum (Alemania),Operational,PDF
C12/74/24,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",24,Observatorio Geodético Pecny (Chequia),Operational,PDF
C12/74/25,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",25,Institut d'Estudis Espacials de Catalunya (España),Operational,PDF
C12/74/26,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",26,Oficina Federal Suiza de Topografía,Operational,PDF
C12/74/27,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",27,Comisión de Geodesia de los países nórdicos (Noruega),Operational,PDF
C12/74/28,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",28,Comisión de Geodesia de los países nórdicos (Suecia),Operational,PDF
C12/74/29,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",29,Institut de Géographique National - Service de géodésie (Francia),Operational,PDF
C12/74/30,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",30,Bundesamt für Kartographie und Geodäsie (Alemania) and Geodesy (Reino Unido),Operational,PDF
C12/74/31,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",31,,Operational,PDF
C12/74/32,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",32,Centro común de meteorología y oceanografía operativas (JOMOC),Operational,PDF
C12/74/33,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",33,Real Instituto Meteorológico (Países Bajos),Operational,PDF
C12/74/34,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",34,Centro nórdico de análisis de la atmósfera mediante datos de GPS (Suecia),Operational,PDF
C12/74/35,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",35,Instituto Geográfico Nacional de España (España),Operational,PDF
C12/74/36,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",36,Met Eireann (Irlanda),Operational,PDF
C12/74/37,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",37,Observatorio Real de Bélgica (Bélgica),Operational,PDF
C12/78/10,78,Offenbach (CMRE),10,POLARA (ejemplar de algoritmos radáricos polarimétricos) Bundeswehr (BGIO)l,Operational,PDF
C12/78/64,78,Offenbach (CMRE),64,,Operational,PDF
C12/78/110,78,Offenbach (CMRE),110,NowCast móvil (datos sobre rayos),Operational,PDF
C12/78/221,78,Offenbach (CMRE),221,"Schleswig-Holstein, Centro de computación de operaciones de tráfico (CCOT) Kiel/Neumünster",Operational,PDF
C12/78/222,78,Offenbach (CMRE),222,"Hamburgo, CCOT Hamburgo",Operational,PDF
C12/78/223,78,Offenbach (CMRE),223,"Niedersachsen, CCOT Hannover",Operational,PDF
