ID,Code,Agency_es,Type_es,InstrumentShortName_es,InstrumentLongName_es,Status,translation_source
C08/481,481,JAXA,Radiómetro,AMSR,Radiómetro de exploración en microondas avanzado,Operational,PDF
C08/482,482,NASDA,Productor de imágenes,AVNIR,Radiómetro visible e infrarrojo cercano,Operational,PDF
C08/483,483,JAXA,Productor de imágenes,AVNIR-2,Radiómetro visible e infrarrojo cercano,Operational,PDF
C08/484,484,JAXA,Productor de imágenes,GLI,Imagenizador mundial,Operational,PDF
C08/485,485,NASDA,Radiómetro,MESSR,Radiómetro de autoexploración electrónico multiespectral,Operational,PDF
C08/486,486,NASDA,Radiómetro,MSR,Radiómetro de exploración en microondas,Operational,PDF
C08/487,487,NASDA,Radiómetro,OCTS,Explorador del color y temperatura del océano,Operational,PDF
C08/488,488,NASDA,Radiómetro,OPS,Sensor óptico,Operational,PDF
C08/489,489,NASDA,Radiómetro,VISSR (GMS-5),Radiómetro visible e infrarrojo de exploración rotativa (GMS-5),Operational,PDF
C08/490,490,NASDA,Radiómetro,VTIR,Radiómetro infrarrojo térmico y visible,Operational,PDF
C08/510,510,NASDA,Espectrómetro,ILAS-I,Espectrómetro atmosférico tangencial mejorado,Operational,PDF
C08/511,511,NASDA,Espectrómetro,ILAS-II,Espectrómetro atmosférico tangencial mejorado,Operational,PDF
C08/512,512,NASDA,Espectrómetro,IMG,Monitor interferométrico de gases de efecto invernadero,Operational,PDF
C08/514,514,NASDA,Medio espacial,SEM,Aparato de control del medio espacial de la Academia Nacional de Ciencias (NASDA),Operational,PDF
C08/515,515,,,,,Operational,NA
C08/516,516,JAXA,Espectrómetro,TANSO-FTS,Sensor térmico y de infrarrojo corto para realizar observaciones del carbono (TANSO) - (FTS),Operational,PDF
C08/517,517,JAXA,Productor de imágenes,TANSO-CAI,Sensor térmico y de infrarrojo corto para realizar observaciones del carbono (TANSO Productor de imágenes de nubes y aerosoles (CAI),Operational,PDF
C08/518,518,JAXA,Radar de nubes y,DPR,Radar de doble frecuencia para,Operational,PDF
C08/519,519,NASA,"Radiómetro de imagen o sondeo por microondas, exploración cónica",GMI,Productor de imágenes por microondas GPM,Operational,PDF
C08/520,520,,,,,Operational,NA
C08/521,521,,,,,Operational,NA
C08/526,526,GeoOptics,Sonda de ocultación GNSS Cion-A,,Receptor de ocultación GNSS Cion-A de GeoOptics,Operational,PDF
C08/527,527,GeoOptics,Sonda de ocultación GNSS Cion-B,,Receptor de ocultación GNSS Cion-B de GeoOptics,Operational,PDF
C08/528,528,GeoOptics,Sonda de ocultación GNSS Cion-C,,Receptor de ocultación GNSS Cion-C de GeoOptics,Operational,PDF
C08/529,529,GeoOptics,Sonda de ocultación GNSS Cion-D,,Receptor de ocultación GNSS Cion-D de GeoOptics,Operational,PDF
C08/530,530,Spire,Sonda de ocultación GNSS SGNOS-A,,Sistema mundial de navegación por satélite con sonda de ocultación Spire A,Operational,PDF
C08/531,531,Spire,Sonda de ocultación GNSS SGNOS-B,,Sistema mundial de navegación por satélite con sonda de ocultación Spire B,Operational,PDF
C08/532,532,Spire,Sonda de ocultación GNSS SGNOS-C,,Sistema mundial de navegación por satélite con sonda de ocultación Spire C,Operational,PDF
C08/533,533,Spire,Sonda de ocultación GNSS SGNOS-D,,Sistema mundial de navegación por satélite con sonda de ocultación Spire D,Operational,PDF
C08/534,534,PlanetiQ,Sonda de ocultación GNSS Pyxis-A,,Receptor de ocultación GNSS Pyxis-A de PlanetiQ,Operational,PDF
C08/535,535,PlanetiQ,Sonda de ocultación GNSS Pyxis-B,,Receptor de ocultación GNSS Pyxis-B de PlanetiQ,Operational,PDF
C08/536,536,,,,,Operational,NA
C08/537,537,,,,,Operational,NA
C08/540,540,NOAA,Comunicaciones,DCS (NOAA),Sistema de recopilación de datos (NOAA),Operational,PDF
C08/541,541,NOAA,Comunicaciones,Coms. GOES,Paquete de comunicaciones en GOES,Operational,PDF
C08/542,542,NOAA,Comunicaciones,Coms. LANDSAT,Paquete de comunicaciones para LANDSAT,Operational,PDF
C08/543,543,NOAA,Comunicaciones,Coms. NOAA,Paquete de comunicaciones para NOAA,Operational,PDF
C08/544,544,NOAA,Comunicaciones,S&R (GOES),Búsqueda y rescate,Operational,PDF
C08/545,545,NOAA,Comunicaciones,S&R (NOAA),Búsqueda y rescate,Operational,PDF
C08/546,546,NOAA,Comunicaciones,WEFAX,Facsímil meteorológico,Operational,PDF
C08/547,547,NOAA,Espectrómetro,SEM (GOES),Aparato de control del ambiente espacial,Operational,PDF
C08/550,550,NOAA,Campo magnético,SSM,Magnetómetro con sensor especial,Operational,PDF
C08/551,551,NOAA,Campo magnético,SSJ/4,Aparato de control del plasma precipitante con sensor especial,Operational,PDF
C08/552,552,NOAA,Medio espacial,SSIES-2,Medidor de centelleo/deriva del plasma ionosférico con sensor especial,Operational,PDF
C08/553,553,NOAA,Medio espacial,SSB/X-2,Detector de partículas de rayos gamma con sensor especial,Operational,PDF
C08/570,570,NOAA,Radiómetro,AMSU-A,Unidad de sondeo en microondas avanzada-A,Operational,PDF
