ID,CodeFigure,Meaning_ru,ChemicalFormula,Status,translation_source
C14/30137,30137,Йод-131,I-131,Operational,PDF
C14/30138,30138,Йод-131 элементарный газообразный,I-131g,Operational,PDF
C14/30139,30139,Йод-131 связанный органически,I-131o,Operational,PDF
C14/30140,30140,Йод-131 газообразный элементарный,I-131go,Operational,PDF
C14/30141,30141,Йод-131 в аэрозоле,I-131a,Operational,PDF
C14/30142,30142,Йод-132,I-132,Operational,PDF
C14/30143,30143,Йод-132 элементарный газообразный,I-132g,Operational,PDF
C14/30144,30144,Йод-132 связанный органически,I-132o,Operational,PDF
C14/30145,30145,Йод-132 газообразный элементарный,I-132go,Operational,PDF
C14/30146,30146,Йод-132 в аэрозоле,I-132a,Operational,PDF
C14/30147,30147,Йод-133,I-133,Operational,PDF
C14/30148,30148,Йод-133 элементарный газообразный,I-133g,Operational,PDF
C14/30149,30149,Йод-133 связанный органически,I-133o,Operational,PDF
C14/30150,30150,Йод-133 газообразный элементарный,I-133go,Operational,PDF
C14/30151,30151,Йод-133 в аэрозоле,I-133a,Operational,PDF
C14/30152,30152,Йод-134,I-134,Operational,PDF
C14/30153,30153,Йод-134 элементарный газообразный,I-134g,Operational,PDF
C14/30154,30154,Йод-134 связанный органически,I-134o,Operational,PDF
C14/30155,30155,Йод-135,I-135,Operational,PDF
C14/30156,30156,Йод-135 элементарный газообразный,I-135g,Operational,PDF
C14/30157,30157,Йод-135 связанный органически,I-135o,Operational,PDF
C14/30158,30158,Йод-135 газообразный элементарный,I-135go,Operational,PDF
C14/30159,30159,Йод-135 в аэрозоле,I-135a,Operational,PDF
C14/30160,30160,Ксенон-131 метастабильный,Xe-131m,Operational,PDF
C14/30161,30161,Ксенон-133,Xe-133,Operational,PDF
C14/30162,30162,Ксенон-133 метастабильный,Xe-133m,Operational,PDF
C14/30163,30163,Ксенон-135,Xe-135,Operational,PDF
C14/30164,30164,Ксенон-135 метастабильный,Xe-135m,Operational,PDF
C14/30165,30165,Ксенон-137,Xe-137,Operational,PDF
C14/30166,30166,Ксенон-138,Xe-138,Operational,PDF
C14/30167,30167,Сумма всех изотопов ксенона,Xe-sum,Operational,PDF
C14/30168,30168,Цезий-131,Cs-131,Operational,PDF
C14/30169,30169,Цезий-134,Cs-134,Operational,PDF
C14/30170,30170,Цезий-135,Cs-135,Operational,PDF
C14/30171,30171,Цезий-136,Cs-136,Operational,PDF
C14/30172,30172,Цезий-137,Cs-137,Operational,PDF
C14/30173,30173,Барий-133,Ba-133,Operational,PDF
C14/30174,30174,Барий-137 метастабильный,Ba-137m,Operational,PDF
C14/30175,30175,Барий-140,Ba-140,Operational,PDF
C14/30176,30176,Церий-139,Ce-139,Operational,PDF
C14/30177,30177,Церий-141,Ce-141,Operational,PDF
C14/30178,30178,Церий-143,Ce-143,Operational,PDF
C14/30179,30179,Церий-144,Ce-144,Operational,PDF
C14/30180,30180,Лантан-140,La-140,Operational,PDF
C14/30181,30181,Лантан-141,La-141,Operational,PDF
C14/30182,30182,Празеодимий-143,Pr-143,Operational,PDF
C14/30183,30183,Празеодимий-144,Pr-144,Operational,PDF
C14/30184,30184,Празеодимий-144 метастабильный,Pr-144m,Operational,PDF
C14/30185,30185,Самарий-145,Sm-145,Operational,PDF
C14/30186,30186,Самарий-147,Sm-147,Operational,PDF
C14/30187,30187,Самарий-151,Sm-151,Operational,PDF
C14/30188,30188,Неодим-147,Nd-147,Operational,PDF
C14/30189,30189,Прометий-146,Pm-146,Operational,PDF
C14/30190,30190,Прометий-147,Pm-147,Operational,PDF
C14/30191,30191,Прометий-151,Pm-151,Operational,PDF
C14/30192,30192,Европий-152,Eu-152,Operational,PDF
C14/30193,30193,Европий-154,Eu-154,Operational,PDF
C14/30194,30194,Европий-155,Eu-155,Operational,PDF
C14/30195,30195,Гадолиний-153,Gd-153,Operational,PDF
C14/30196,30196,Тербий-160,Tb-160,Operational,PDF
C14/30197,30197,Гольмий-166 метастабильный,Ho-166m,Operational,PDF
C14/30198,30198,Тулий-170,Tm-170,Operational,PDF
C14/30199,30199,Иттербий-169,Yb-169,Operational,PDF
C14/30200,30200,Гафний-175,Hf-175,Operational,PDF
C14/30201,30201,Гафний-181,Hf-181,Operational,PDF
C14/30202,30202,Тантал-179,Ta-179,Operational,PDF
C14/30203,30203,Тантал-182,Ta-182,Operational,PDF
C14/30204,30204,Рений-184,Re-184,Operational,PDF
C14/30205,30205,Иридий-192,Ir-192,Operational,PDF
C14/30206,30206,Mercury-203,Hg-203,Operational,PDF
C14/30207,30207,Таллий-204,Tl-204,Operational,PDF
C14/30208,30208,Таллий-207,Tl-207,Operational,PDF
C14/30209,30209,Таллий-208,Tl-208,Operational,PDF
C14/30210,30210,Таллий-209,Tl-209,Operational,PDF
C14/30211,30211,Висмут-205,Bi-205,Operational,PDF
C14/30212,30212,Висмут-207,Bi-207,Operational,PDF
C14/30213,30213,Висмут-210,Bi-210,Operational,PDF
C14/30214,30214,Висмут-211,Bi-211,Operational,PDF
C14/30215,30215,Висмут-212,Bi-212,Operational,PDF
C14/30216,30216,Висмут-213,Bi-213,Operational,PDF
C14/30217,30217,Висмут-214,Bi-214,Operational,PDF
C14/30218,30218,Полоний-208,Po-208,Operational,PDF
C14/30219,30219,Полоний-210,Po-210,Operational,PDF
C14/30220,30220,Полоний-212,Po-212,Operational,PDF
C14/30221,30221,Полоний-213,Po-213,Operational,PDF
C14/30222,30222,Полоний-214,Po-214,Operational,PDF
C14/30223,30223,Полоний-215,Po-215,Operational,PDF
C14/30224,30224,Полоний-216,Po-216,Operational,PDF
C14/30225,30225,Полоний-218,Po-218,Operational,PDF
C14/30226,30226,Свинец-209,Pb-209,Operational,PDF
C14/30227,30227,Свинец-210,Pb-210,Operational,PDF
C14/30228,30228,Свинец-211,Pb-211,Operational,PDF
C14/30229,30229,Свинец-212,Pb-212,Operational,PDF
C14/30230,30230,Свинец-214,Pb-214,Operational,PDF
C14/30231,30231,Астат-217,At-217,Operational,PDF
C14/30232,30232,Радон-219,Rn-219,Operational,PDF
C14/30233,30233,Радон-220,Rn-220,Operational,PDF
C14/30234,30234,Радон-222,Rn-222,Operational,PDF
C14/30235,30235,Франций-221,Fr-221,Operational,PDF
C14/30236,30236,Франций-223,Fr-223,Operational,PDF
C14/30237,30237,Радий-223,Ra-223,Operational,PDF
C14/30238,30238,Радий-224,Ra-224,Operational,PDF
C14/30239,30239,Радий-225,Ra-225,Operational,PDF
C14/30240,30240,Радий-226,Ra-226,Operational,PDF
C14/30241,30241,Радий-228,Ra-228,Operational,PDF
C14/30242,30242,,Ac-225,Operational,NA
C14/30243,30243,,Ac-227,Operational,NA
C14/30244,30244,,Ac-228,Operational,NA
C14/30245,30245,Торий-227,Th-227,Operational,PDF
C14/30246,30246,Торий-228,Th-228,Operational,PDF
C14/30247,30247,Торий-229,Th-229,Operational,PDF
C14/30248,30248,Торий-230,Th-230,Operational,PDF
C14/30249,30249,Торий-231,Th-231,Operational,PDF
C14/30250,30250,Торий-232,Th-232,Operational,PDF
C14/30251,30251,Торий-234,Th-234,Operational,PDF
C14/30252,30252,Протактиний-231,Pa-231,Operational,PDF
C14/30253,30253,Протактиний-233,Pa-233,Operational,PDF
C14/30254,30254,Протактиний-234 метастабильный,Pa-234m,Operational,PDF
C14/30255,30255,Уран-232,U-232,Operational,PDF
C14/30256,30256,Уран-233,U-233,Operational,PDF
C14/30257,30257,Уран-234,U-234,Operational,PDF
C14/30258,30258,Уран-235,U-235,Operational,PDF
C14/30259,30259,Уран-236,U-236,Operational,PDF
C14/30260,30260,Уран-237,U-237,Operational,PDF
C14/30261,30261,Уран-238,U-238,Operational,PDF
C14/30262,30262,Плутоний-236,Pu-236,Operational,PDF
C14/30263,30263,Плутоний-238,Pu-238,Operational,PDF
C14/30264,30264,Плутоний-239,Pu-239,Operational,PDF
C14/30265,30265,Плутоний-240,Pu-240,Operational,PDF
C14/30266,30266,Плутоний-241,Pu-241,Operational,PDF
C14/30267,30267,Плутоний-242,Pu-242,Operational,PDF
C14/30268,30268,Плутоний-244,Pu-244,Operational,PDF
