ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_ru,CodeFigure_SubCentres,Name_SubCentres_ru,Status,translation_source
C12/78/10,78,Оффенбах (РСМЦ),10,ПОЛАРА (в случае применения алгоритмов обработки данных поляриметрических радиолокаторов),Operational,PDF
C12/78/64,78,Оффенбах (РСМЦ),64,Бюро Бундесвера по геоинформации (ББГ),Operational,PDF
C12/78/110,78,Оффенбах (РСМЦ),110,Служба NowCast mobile (данные о молниях),Operational,PDF
C12/78/221,78,Оффенбах (РСМЦ),221,"Шлезвиг-Гольштейн, Вычислительный центр Управления дорожным движением (ВЦ-УДД) Ноймюнстера/Киль",Operational,PDF
C12/78/222,78,Оффенбах (РСМЦ),222,"Гамбург, ВЦ-УДД Гамбурга",Operational,PDF
C12/78/223,78,Оффенбах (РСМЦ),223,"Нижняя Саксония, ВЦ-УДД Ганновера",Operational,PDF
C12/78/224,78,Оффенбах (РСМЦ),224,Австрия (НМЦ),Operational,PDF
C12/78/225,78,Оффенбах (РСМЦ),225,"Северный Рейн-Вестфалия, ВЦ-УДД Камена, Леверкузен",Operational,PDF
C12/78/226,78,Оффенбах (РСМЦ),226,"Гёссен, ВЦ-УДД Руссельхайма",Operational,PDF
C12/78/227,78,Оффенбах (РСМЦ),227,"Рейнланд-Пфальц, ВЦ-УДД Кобленца",Operational,PDF
C12/78/228,78,Оффенбах (РСМЦ),228,"Баден-Вюртенберг, ВЦ-УДД Людвигсбурга",Operational,PDF
C12/78/229,78,Оффенбах (РСМЦ),229,"Бавария, ВЦ-УДД Фраймана",Operational,PDF
C12/78/230,78,Оффенбах (РСМЦ),230,"Саар, ВЦ-УДД Рохрбаха",Operational,PDF
C12/78/231,78,Оффенбах (РСМЦ),231,"Бавария, Дирекция автомобильных дорог Северной Баварии",Operational,PDF
C12/78/232,78,Оффенбах (РСМЦ),232,"Бранденбург, ВЦ-УДД Штольпа",Operational,PDF
C12/78/233,78,Оффенбах (РСМЦ),233,"Мекленбург-Передняя Померания, ВЦ-УДД Малкоу",Operational,PDF
C12/78/234,78,Оффенбах (РСМЦ),234,"Саксония, ВЦ-УДД Дрездена",Operational,PDF
C12/78/235,78,Оффенбах (РСМЦ),235,"Саксония-Ангальт, ВЦ-УДД Халля",Operational,PDF
C12/78/236,78,Оффенбах (РСМЦ),236,"Тюрингия, ВЦ-УДД Эрфурта",Operational,PDF
C12/78/237,78,Оффенбах (РСМЦ),237,EasyWay - «Метеотранс» (межгосударственный обмен данными о погоде),Operational,PDF
C12/78/254,78,Оффенбах (РСМЦ),254,ЕВМЕТСАТ,Operational,PDF
C12/80/101,80,Рим (РСМЦ),101,Албания (НМЦ),Operational,PDF
C12/80/102,80,Рим (РСМЦ),102,Национальный совет по научным исследованиям/Институт атмосферных наук и климата (CNR-ISAC),Operational,PDF
C12/85/200,85,Тулуза (РСМЦ),200,Institut National de l'Environnement Industriel et des Risques (Франция),Operational,PDF
C12/85/201,85,Тулуза (РСМЦ),201,Rheinisches Institut für Umweltforschung an der Universität zu Köln E.V. (Германия),Operational,PDF
C12/85/202,85,Тулуза (РСМЦ),202,,Operational,PDF
C12/85/203,85,Тулуза (РСМЦ),203,Орхусский университет (Дания),Operational,PDF
